568587347197689856,1,800,2019-04-19 00:03:11,12,5,,G9919820190418744773252
568589777180295168,1,800,2019-04-19 00:12:51,12,5,,G9919820190418555896702
568590011851603968,1,1800,2019-04-19 00:13:47,12,11,,G9919820190418789286541
568590368291946496,1,800,2019-04-19 00:15:12,12,5,,G9919820190418321587779
568593863766179840,1,1300,2019-04-19 00:29:06,12,8,,G9919820190418388913286
568594438511656960,1,800,2019-04-19 00:31:21,12,5,,G9919820190418110753993
568594769706483712,1,1300,2019-04-19 00:32:40,12,8,,G9919820190418932320625
568606217283305472,1,500,2019-04-19 01:18:12,12,3,,G9919820190418428121210
568613129953476608,1,800,2019-04-19 01:45:39,12,5,,G9919820190418600416180
568680219855028224,1,800,2019-04-19 06:12:13,12,5,,G9919820190418923725640
568694204495036416,1,800,2019-04-19 07:07:49,12,5,,G9919820190418960440775
568695159668080640,1,800,2019-04-19 07:11:39,12,5,,G9919820190418680414620
568697258065788928,1,800,2019-04-19 07:19:58,12,5,,G9919820190418521922748
568699251303907328,1,800,2019-04-19 07:27:51,12,5,,G9919820190418163702591
568700076122177536,1,750,2019-04-19 07:31:09,12,5,,G9919820190418166810781
568701127286063104,1,1000,2019-04-19 07:35:18,12,6,,G9919820190418706831135
568702240894746624,1,800,2019-04-19 07:39:45,12,5,,G9919820190418524889147
568702496462077952,1,800,2019-04-19 07:40:46,12,5,,G9919820190418850224305
568702664498479104,1,800,2019-04-19 07:41:26,12,5,,G9919820190418815726151
568702781880270848,1,750,2019-04-19 07:41:55,12,5,,G9919820190418549297543
568703256730009600,1,750,2019-04-19 07:43:49,12,5,,G9919820190418670455597
568706061666615296,1,800,2019-04-19 07:54:56,12,5,,G9919820190418896624457
568706598227148800,1,800,2019-04-19 07:57:05,12,5,,G9919820190418645522526
568708186782040064,1,800,2019-04-19 08:03:24,12,5,,G9919820190419433460540
568708929605861376,1,800,2019-04-19 08:06:21,12,5,,G9919820190418946984651
568710921719906304,1,800,2019-04-19 08:14:16,12,5,,G9919820190419528113274
568710978410119168,1,800,2019-04-19 08:14:30,12,5,,G9919820190418351996641
568714604910215168,1,800,2019-04-19 08:28:51,12,5,,G9919820190418685623420
568716426806820864,1,1300,2019-04-19 08:36:09,12,8,,G9919820190418728128525
568716552602386432,1,500,2019-04-19 08:36:39,12,3,,G9919820190418816289502
568720607043125248,1,1000,2019-04-19 08:52:44,12,6,,G9919820190418551367614
568721359241216000,1,1300,2019-04-19 08:55:44,12,8,,G9919820190418448843441
568724315529281536,1,2300,2019-04-19 09:07:28,12,14,,G9919820190418224323673
568728975258419200,1,1550,2019-04-19 09:25:59,12,9,,G9919820190418522506879
568732824526389248,1,1800,2019-04-19 09:41:18,12,11,,G9919820190418944800694
568735101068771328,1,1800,2019-04-19 09:50:19,12,11,,G9919820190418317693785
568735225085952000,1,750,2019-04-19 09:50:54,12,5,,G9919820190419114913959
568736380717367296,1,200,2019-04-19 09:55:26,12,1,,G9919820190419549583822
568737340554477568,1,750,2019-04-19 09:59:15,12,5,,G9919820190419936869134
568738702671478784,1,2050,2019-04-19 10:04:37,12,12,,G9919820190418472164346
568739016225062912,1,1000,2019-04-19 10:05:53,12,6,,G9919820190419315272749
568745655531470848,1,500,2019-04-19 10:43:03,12,3,,G9919820190419618270615
568747052876431360,1,1000,2019-04-19 10:48:24,12,6,,G9919820190419889290246
568747821201620992,1,500,2019-04-19 10:48:26,12,3,,G9919820190419894828802
568752079984656384,1,1250,2019-04-19 10:57:47,12,8,,G9919820190419979372771
568754596713857024,1,1000,2019-04-19 11:07:46,12,6,,G9919820190419616784551
568755224374673408,1,750,2019-04-19 11:10:17,12,5,,G9919820190419359764680
568755801729007616,1,1250,2019-04-19 11:12:35,12,8,,G9919820190419522950521
568755861044854784,1,1250,2019-04-19 11:12:50,12,8,,G9919820190419735562496
568756707170189312,1,500,2019-04-19 11:16:09,12,3,,G9919820190419514721388
568756845791936512,1,1250,2019-04-19 11:16:45,12,8,,G9919820190419467797791
568757147228176384,1,500,2019-04-19 11:17:55,12,3,,G9919820190419757337715
568757664511688704,1,500,2019-04-19 11:19:59,12,3,,G9919820190419698342438
568758339907878912,1,1250,2019-04-19 11:22:40,12,8,,G9919820190419626484843
568761351804026880,1,750,2019-04-19 11:34:39,12,5,,G9919820190419102845825
568762887527464960,1,750,2019-04-19 11:40:46,12,5,,G9919820190419762919307
568765324833325056,1,500,2019-04-19 11:50:25,12,3,,G9919820190419166382940
568765851403026432,1,1000,2019-04-19 11:52:29,12,6,,G9919820190419624632814
568771727765536768,1,3000,2019-04-19 12:15:52,12,18,,G9919820190418475457611
568782959042101248,1,750,2019-04-19 13:00:29,12,5,,G9919820190419479684518
568786614784884736,1,750,2019-04-19 13:15:07,12,5,,G9919820190419173301464
568791147732795392,1,500,2019-04-19 13:33:02,12,3,,G9919820190419562604130
568791574381592576,1,500,2019-04-19 13:34:44,12,3,,G9919820190419204750392
568798842221232128,1,1000,2019-04-19 14:03:36,12,6,,G9919820190419227140735
568804578330411008,1,1000,2019-04-19 14:26:24,12,6,,G9919820190419452167675
568805620388462592,1,3000,2019-04-19 14:30:34,12,18,,G9919820190418868153175
568806650769571840,1,1250,2019-04-19 14:34:39,12,8,,G9919820190419539438786
