499009611773247488,1,900,2018-10-09 00:06:07,12,5,
499009706434494464,1,900,2018-10-09 00:06:28,12,5,
499041209054920704,1,1500,2018-10-09 02:11:41,12,9,
499095688198488064,1,400,2018-10-09 05:48:09,12,2,
499107254985818112,1,400,2018-10-09 06:34:07,12,2,
499112798693883904,1,400,2018-10-09 06:56:09,12,2,
499114550101016576,1,775,2018-10-09 07:03:07,12,5,
499114568144912384,1,400,2018-10-09 07:03:12,12,2,
499114928066527232,1,1025,2018-10-09 07:04:39,12,6,
499117338373652480,1,250,2018-10-09 07:14:12,12,2,
499118219592728576,1,400,2018-10-09 07:17:44,12,2,
499118534731759616,1,400,2018-10-09 07:18:58,12,2,
499119067924267008,1,400,2018-10-09 07:21:03,12,2,
499119120390815744,1,400,2018-10-09 07:21:18,12,2,
499119345587191808,1,400,2018-10-09 07:22:10,12,2,
499119552278298624,1,400,2018-10-09 07:23:00,12,2,
499119769102843904,1,400,2018-10-09 07:23:51,12,2,
499121149158883328,1,650,2018-10-09 07:29:21,12,4,
499122517823193088,1,375,2018-10-09 07:34:47,12,2,
499122892613615616,1,400,2018-10-09 07:36:17,12,2,
499123414938681344,1,400,2018-10-09 07:38:21,12,2,
499123486426398720,1,400,2018-10-09 07:38:38,12,2,
499123693427884032,1,650,2018-10-09 07:39:26,12,4,
499124476424749056,1,500,2018-10-09 07:42:33,12,3,
499125552716709888,1,400,2018-10-09 07:46:51,12,2,
499126071032020992,1,400,2018-10-09 07:48:55,12,2,
499126081429700608,1,400,2018-10-09 07:48:54,12,2,
499126095300263936,1,650,2018-10-09 07:49:00,12,4,
499126521177309184,1,400,2018-10-09 07:50:42,12,2,
499128326401556480,1,400,2018-10-09 07:57:51,12,2,
499128518693617664,1,100,2018-10-09 07:58:39,12,1,
499128518915915776,1,100,2018-10-09 07:58:38,12,1,
499128716668960768,1,400,2018-10-09 07:59:26,12,2,
499128735648186368,1,400,2018-10-09 07:59:30,12,2,
499130056845557760,1,400,2018-10-09 08:04:45,12,2,
499130871861739520,1,400,2018-10-09 08:08:00,12,2,
499131226859241472,1,1025,2018-10-09 08:09:22,12,6,
499132172473466880,1,400,2018-10-09 08:13:09,12,2,
499133539690741760,1,400,2018-10-09 08:18:35,12,2,
499133982605049856,1,400,2018-10-09 08:20:21,12,2,
499137011832061952,1,650,2018-10-09 08:32:22,12,4,
499137136713269248,1,650,2018-10-09 08:32:51,12,4,
499138395155464192,1,250,2018-10-09 08:37:53,12,2,
499139796220772352,1,1025,2018-10-09 08:43:27,12,6,
499142445016023040,1,1025,2018-10-09 08:53:57,12,6,
499144180061175808,1,650,2018-10-09 09:00:52,12,4,
499146271206932480,1,775,2018-10-09 09:09:12,12,5,
499147062516908032,1,250,2018-10-09 09:12:19,12,2,
499150196660240384,1,775,2018-10-09 09:24:46,12,5,
499155189568110592,1,1275,2018-10-09 09:44:38,12,8,
499160758337142784,1,1500,2018-10-09 10:06:44,12,9,
499165667778363392,1,375,2018-10-09 10:26:14,12,2,
499166050273722368,1,250,2018-10-09 10:27:44,12,2,
499170059734745088,1,1150,2018-10-09 10:43:41,12,7,
499174102280437760,1,250,2018-10-09 10:59:45,12,2,
499174241548107776,1,250,2018-10-09 11:00:19,12,2,
499174440840462336,1,1150,2018-10-09 11:01:05,12,7,
499177699722395648,1,625,2018-10-09 11:14:01,12,4,
499189249891893248,1,375,2018-10-09 11:59:59,12,2,
499189329457840128,1,250,2018-10-09 12:00:16,12,2,
499190309347917824,1,875,2018-10-09 12:04:08,12,5,
499196061630332928,1,1000,2018-10-09 12:27:00,12,6,
499196256111820800,1,375,2018-10-09 12:27:47,12,2,
499197988556505088,1,250,2018-10-09 12:34:40,12,2,
499198005031731200,1,375,2018-10-09 12:34:46,12,2,
499205508234739712,1,250,2018-10-09 13:04:34,12,2,
499206278162153472,1,375,2018-10-09 13:07:35,12,2,
499209725460611072,1,250,2018-10-09 13:21:17,12,2,
499215873173618688,1,375,2018-10-09 13:45:42,12,2,
499216015683485696,1,500,2018-10-09 13:46:20,12,3,
499216362623729664,1,500,2018-10-09 13:47:42,12,3,
499226725029249024,1,375,2018-10-09 14:28:51,12,2,
499244438292267008,1,250,2018-10-09 15:39:15,12,2,
499249499667955712,1,625,2018-10-09 15:59:21,12,4,
499254325839659008,1,250,2018-10-09 16:18:32,12,2,
499258592105332736,1,500,2018-10-09 16:35:30,12,3,
499259312477044736,1,1375,2018-10-09 16:38:23,12,8,
499259330801958912,1,1250,2018-10-09 16:38:25,12,8,
499266639544451072,1,250,2018-10-09 17:07:29,12,2,
499267553411989504,1,250,2018-10-09 17:11:05,12,2,
499274017308409856,1,1500,2018-10-09 17:36:47,12,9,
499275228887646208,1,500,2018-10-09 17:41:36,12,3,
499283873360773120,1,1500,2018-10-09 18:15:59,12,9,
499287366658162688,1,250,2018-10-09 18:29:50,12,2,
499290471634305024,1,250,2018-10-09 18:42:12,12,2,
499290830142439424,1,250,2018-10-09 18:43:36,12,2,
499295358443061248,1,250,2018-10-09 19:01:34,12,2,
499302368899235840,1,250,2018-10-09 19:29:27,12,2,
499303112197013504,1,400,2018-10-09 19:32:26,12,2,
499310004835188736,1,625,2018-10-09 19:59:47,12,4,
499312532851261440,1,375,2018-10-09 20:09:49,12,2,
499312861537894400,1,250,2018-10-09 20:11:09,12,2,
499322451675578368,1,600,2018-10-09 20:49:15,12,4,
499325822474125312,1,825,2018-10-09 21:02:39,12,5,
499328598860103680,1,200,2018-10-09 21:13:40,12,1,
499335810735144960,1,450,2018-10-09 21:42:20,12,3,
