498733244175351808,1,1150,2018-10-08 05:47:56,12,7,
498733582651490304,1,400,2018-10-08 05:49:16,12,2,
498743361297973248,1,775,2018-10-08 06:28:08,12,5,
498749695410044928,1,775,2018-10-08 06:53:18,12,5,
498751129782321152,1,400,2018-10-08 06:59:00,12,2,
498752106614751232,1,400,2018-10-08 07:02:54,12,2,
498753917341925376,1,9775,2018-10-08 07:10:06,12,58,
498755265563197440,1,400,2018-10-08 07:15:27,12,2,
498755789649870848,1,400,2018-10-08 07:17:32,12,2,
498755957673689088,1,400,2018-10-08 07:18:11,12,2,
498756014741389312,1,400,2018-10-08 07:18:24,12,2,
498756279238393856,1,400,2018-10-08 07:19:29,12,2,
498757137082613760,1,400,2018-10-08 07:22:53,12,2,
498757291449778176,1,400,2018-10-08 07:23:32,12,2,
498758383420047360,1,400,2018-10-08 07:27:50,12,2,
498758998007218176,1,400,2018-10-08 07:30:17,12,2,
498759706794262528,1,1025,2018-10-08 07:33:06,12,6,
498760587371610112,1,1025,2018-10-08 07:36:36,12,6,
498761370196508672,1,400,2018-10-08 07:39:43,12,2,
498761422562394112,1,400,2018-10-08 07:39:54,12,2,
498761562375323648,1,400,2018-10-08 07:40:27,12,2,
498761606616842240,1,400,2018-10-08 07:40:39,12,2,
498761708211273728,1,400,2018-10-08 07:41:03,12,2,
498761897173057536,1,400,2018-10-08 07:41:49,12,2,
498762099015548928,1,500,2018-10-08 07:42:37,12,3,
498762379081809920,1,400,2018-10-08 07:43:46,12,2,
498762509474332672,1,1025,2018-10-08 07:44:15,12,6,
498762719831261184,1,900,2018-10-08 07:45:05,12,5,
498762841247973376,1,400,2018-10-08 07:45:32,12,2,
498762882901606400,1,400,2018-10-08 07:45:45,12,2,
498763078435864576,1,400,2018-10-08 07:46:29,12,2,
498763668897398784,1,400,2018-10-08 07:48:50,12,2,
498764103410515968,1,400,2018-10-08 07:50:35,12,2,
498764556445679616,1,900,2018-10-08 07:52:21,12,5,
498765544372043776,1,400,2018-10-08 07:56:17,12,2,
498765675498569728,1,400,2018-10-08 07:56:51,12,2,
498766142572068864,1,400,2018-10-08 07:58:40,12,2,
