1308436251342274560,1,800,2020-09-23 00:01:32,12,5,,G9919820200922902752534
1308442353974902784,1,800,2020-09-23 00:25:47,12,5,,G9919820200922279303114
1308447969833385984,1,1800,2020-09-23 00:48:06,12,11,,G9919820200922804748458
1308490183221444608,1,800,2020-09-23 03:35:50,12,5,,G9919820200922669453670
1308537884168421376,1,800,2020-09-23 06:45:23,12,5,,G9919820200922440465535
1308540306727108608,1,800,2020-09-23 06:55:00,12,5,,G9919820200923278133349
1308549828745101312,1,800,2020-09-23 07:32:51,12,5,,G9919820200922994170507
1308550686538989568,1,800,2020-09-23 07:36:17,12,5,,G9919820200922252234305
1308551405501415424,1,1550,2020-09-23 07:39:06,12,9,,G9919820200922610378692
1308554261373648896,1,800,2020-09-23 07:50:31,12,5,,G9919820200922361624329
1308558619171618816,1,800,2020-09-23 08:07:48,12,5,,G9919820200922279343446
1308577084720807936,1,1550,2020-09-23 09:21:15,12,9,,G9919820200922257325232
1308583912393408512,1,750,2020-09-23 09:48:18,12,5,,G9919820200923198543300
1308595431021740032,1,500,2020-09-23 10:34:05,12,3,,G9919820200923180480172
1308620137368125440,1,1250,2020-09-23 12:12:15,12,8,,G9919820200923340354417
1308645982728093696,1,500,2020-09-23 13:54:56,12,3,,G9919820200923491800557
1308656754451546112,1,1000,2020-09-23 14:37:44,12,6,,G9919820200923869767501
1308660303445098496,1,500,2020-09-23 14:51:50,12,3,,G9919820200923402711659
1308666105883000832,1,1250,2020-09-23 15:14:53,12,8,,G9919820200923621395507
1308667489198014464,1,500,2020-09-23 15:20:30,12,3,,G9919820200923772421722
1308673188984520704,1,500,2020-09-23 15:43:02,12,3,,G9919820200923143546947
1308674426413252608,1,500,2020-09-23 15:47:59,12,3,,G9919820200923829249654
1308678602119708672,1,800,2020-09-23 16:04:35,12,5,,G9919820200922766473855
1308689275176353792,1,1000,2020-09-23 16:46:59,12,6,,G9919820200923986879476
1308691500866994176,1,1250,2020-09-23 16:55:50,12,8,,G9919820200923885469157
1308700000368197632,1,200,2020-09-23 17:29:36,12,1,,G9919820200923423757511
1308702224083320832,1,1500,2020-09-23 17:38:36,12,9,,G9919820200923467492174
1308712036313595904,1,500,2020-09-23 18:17:33,12,3,,G9919820200923140910306
1308716261475090432,1,500,2020-09-23 18:34:15,12,3,,G9919820200923450281168
1308726740679393280,1,500,2020-09-23 19:15:55,12,3,,G9919820200923767135953
1308727328687259648,1,750,2020-09-23 19:18:13,12,5,,G9919820200923363244681
1308727831886299136,1,1000,2020-09-23 19:20:14,12,6,,G9919820200923203116953
1308745166718238720,1,750,2020-09-23 20:29:05,12,5,,G9919820200923958619976
1308750130911903744,1,1450,2020-09-23 20:48:46,12,9,,G9919820200923575554711
1308753369229164544,1,200,2020-09-23 21:01:40,12,1,,G9919820200923844616860
1308754952440512512,1,200,2020-09-23 21:08:00,12,1,,G9919820200923463740309
1308759075323904000,1,1150,2020-09-23 21:24:22,12,7,,G9919820200923721759719
1308768442907623424,1,600,2020-09-23 22:01:33,12,4,,G9919820200923421682361
1308778867942490112,1,600,2020-09-23 22:42:58,12,4,,G9919820200923114914379
1308788347077918720,1,750,2020-09-23 23:20:38,12,5,,G9919820200923244261853
1308791487886000128,1,1300,2020-09-23 23:33:07,12,8,,G9919820200923345730886
